filename	ATTRIBUTE_species	ATTRIBUTE_YYY	iNat	id	observed_on_string	observed_on	time_observed_at	time_zone	user_id	user_login	user_name	created_at	updated_at	quality_grade	license	url	image_url	sound_url	tag_list	description	num_identification_agreements	num_identification_disagreements	captive_cultivated	oauth_application_id	place_guess	latitude	longitude	positional_accuracy	private_place_guess	private_latitude	private_longitude	public_positional_accuracy	geoprivacy	taxon_geoprivacy	coordinates_obscured	positioning_method	positioning_device	species_guess	scientific_name	common_name	iconic_taxon_name	taxon_id	taxon_kingdom_name	taxon_phylum_name	taxon_subphylum_name	taxon_superclass_name	taxon_class_name	taxon_subclass_name	taxon_superorder_name	taxon_order_name	taxon_suborder_name	taxon_superfamily_name	ATTRIBUTE_taxon_family_name	taxon_subfamily_name	taxon_supertribe_name	ATTRIBUTE_taxon_tribe_name	taxon_subtribe_name	ATTRIBUTE_taxon_genus_name	taxon_genushybrid_name	taxon_species_name	taxon_hybrid_name	taxon_subspecies_name	taxon_variety_name	taxon_form_name	field:dbgi_id
20230419_PMA_SBL20004_dbgi_001123_01.mzML	aconitum variegatum	dbgi_001123	159424967	159424967	05/04/2023 15:55	05/04/2023	2023-04-05 13:55:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:13 UTC	2023-05-03 13:48:13 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424967	https://inaturalist-open-data.s3.amazonaws.com/photos/275419158/medium.jpg		emi_external_id:dbgi_001123		0	0	TRUE		"Fribourg, Suisse"	46.79245905	7.156452581								FALSE			Manchurian Monkshood	Aconitum variegatum	Manchurian Monkshood	Plantae	53629	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Delphinieae		Aconitum		Aconitum variegatum					
20230419_PMA_SBL20004_dbgi_001126_01.mzML	aconitum vulparia	dbgi_001126	159424969	159424969	05/04/2023 15:50	05/04/2023	2023-04-05 13:50:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:14 UTC	2023-05-03 13:48:14 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424969	https://inaturalist-open-data.s3.amazonaws.com/photos/275419267/medium.jpg		emi_external_id:dbgi_001126		0	0	TRUE		"Fribourg, Suisse"	46.79245174	7.156451677								FALSE			Wolfsbane	Aconitum vulparia	wolfsbane	Plantae	539116	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Delphinieae		Aconitum		Aconitum vulparia					
20230419_PMA_SBL20004_dbgi_001131_01.mzML	ranunculus muricatus	dbgi_001131	159424970	159424970	05/04/2023 16:44	05/04/2023	2023-04-05 14:44:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:14 UTC	2023-05-03 13:48:14 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424970	https://inaturalist-open-data.s3.amazonaws.com/photos/275419484/medium.jpg		emi_external_id:dbgi_001131		0	0	TRUE		"Fribourg, Suisse"	46.79232582	7.156515414								FALSE			Rough-fruited Buttercup	Ranunculus muricatus	Rough-fruited buttercup	Plantae	57240	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Ranunculeae		Ranunculus		Ranunculus muricatus					
20230419_PMA_SBL20004_dbgi_001052_01.mzML	ranunculus acris firesianus	dbgi_001052	159424971	159424971	05/04/2023 16:24	05/04/2023	2023-04-05 14:24:00 UTC	Zurich	5367650	edouardbruelhart		2023-05-03 13:48:14 UTC	2023-05-03 13:48:14 UTC	casual	CC-BY-NC	https://www.inaturalist.org/observations/159424971	https://inaturalist-open-data.s3.amazonaws.com/photos/275419380/medium.jpg		emi_external_id:dbgi_001052		0	0	TRUE		"La Sarine, CH-FR, CH"	46.79236543	7.156498625								FALSE			Ranunculus acris friesianus	Ranunculus acris friesianus		Plantae	517525	Plantae	Tracheophyta	Angiospermae		Magnoliopsida			Ranunculales			Ranunculaceae	Ranunculoideae		Ranunculeae		Ranunculus		Ranunculus acris		Ranunculus acris friesianus			
20230419_PMA_SBL20004_BK_01.mzML	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd
20230419_PMA_SBL20004_BK_00.mzML	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd
20230419_PMA_SBL20004_BK_mapp.mzML	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd
20230419_PMA_SBL20004_QC_00.mzML	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd
20230419_PMA_SBL20004_QC_01.mzML	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd
20230419_PMA_SBL20004_QC_02.mzML	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd
20230419_PMA_SBL20004_QC_03.mzML	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd
